Key,Component,View,Context
Item,Card heading,Settings > Thesauri,Heading on each sub-item card inside the add-group and add-item sidepanels.
Javascript,Tab label,Settings > Pages,Label of the tab in the Page Editor for writing the page's custom Javascript.
juris*,Search tip example,Entity view,"Monospace example query shown in the search tips popover, illustrating a wildcard search."
Label,Field label,Shared (used across 6 views),"Generic ""Label"" field caption reused across the link-field editor, several V2 Settings table columns (Filters, Menu, Relationship types, Thesauri) and the Templates property editor."
"Label date ""From""",Field label,Library / Entity view,"""From:"" label on date-range and numeric-range property fields in the entity metadata edit form."
"Label date ""to""",Field label,Library / Entity view,"""To:"" label on the same date-range and numeric-range property fields."
Labeled,Checkbox label,Settings > Metadata extraction,"Filter checkbox in the Stats & Filters sidepanel for suggestions whose entity already has a value, shown with a count."
Landing page description,Tooltip,Settings > Collection,"Tooltip explaining the landing page field, including example relative URLs to use."
Language,Field/dropdown label,Shared (used across 5 views),Label for the language selector and language field shown for a file in the entity's file drawer and file-details panel.
Language Code,Table column header (screen-reader only),Settings > Translations,Hidden accessible header for the column showing the language pill/status in the untranslated-terms table.
Language deleted,Toast notification,Unresolved,"Same legacy, apparently unused I18N action creator as ""New language added"" — no current call site found in the codebase."
Language reset success,Toast notification,Settings > Languages,Success message shown after a language's translations are reset.
Language uninstalled successfully,Toast notification,Global navigation,Success notification shown when a language uninstallation job triggered from Settings completes.
Language(s),Table column header,Settings > Paragraph Extraction (entities table),"Rendered via `generateTableHeader('Language(s)')` in `app/react/V2/Routes/Settings/ParagraphExtraction/components/entities/TableElements/columns.tsx`, which wraps the string in `<Translate>{translationKey}</Translate>` — a helper-function argument, not a direct literal, so the scanner missed it."
Languages,Navigation link,Settings,Admin-only sidebar link in the Settings navigation menu that routes to the languages settings page.
Languages installed successfully,Toast notification,Global navigation,Success notification shown when a language installation job triggered from Settings completes.
Last updated,Tooltip,Shared (used across 3 views),"Prefix of the tooltip text on the OCR button showing when OCR status was last updated, followed by a timestamp."
Last updated from collection:,Label text,Settings > Dataviz > Refresh tab,Prefix label before the timestamp of the last successful snapshot refresh.
Latitude,Field label,Library / Entity view,"Label for the latitude input/readout on the geolocation property field, both when editing and when viewing an entity's location."
Latitude must be between -90 and 90,Validation error message,Entity view,Error shown under a geolocation property field in the entity editor when the entered latitude is out of range.
Learn how to add and configure a contact form on a webpage.,Link text,Settings > Collection,Link inside the receiving-email tooltip pointing to the docs page on adding a contact form.
